,Death County,Death_Lat,Date Type
0,fairfield,41.026526,42
1,fairfield,41.031999,1
2,fairfield,41.033877,1
3,fairfield,41.037899,2
4,fairfield,41.051924,124
5,fairfield,41.080002,4
6,fairfield,41.11805,110
7,fairfield,41.14044,7
8,fairfield,41.143322,26
9,fairfield,41.148498,4
10,fairfield,41.179195,539
11,fairfield,41.19444,7
12,fairfield,41.200888,69
13,fairfield,41.200939,4
14,fairfield,41.252848,2
15,fairfield,41.257379,13
16,fairfield,41.281456,5
17,fairfield,41.304131,4
18,fairfield,41.316843,49
19,fairfield,41.331612,9
20,fairfield,41.371727,20
21,fairfield,41.393666,200
22,fairfield,41.413516,11
23,fairfield,41.419998,4
24,fairfield,41.466074,10
25,fairfield,41.482447,8
26,fairfield,41.575155,1
27,fairfield,41.578959,2
28,hartford,41.583599,5
29,hartford,41.600428,74
30,hartford,41.626049,34
31,hartford,41.632043,21
32,hartford,41.634687,2
33,hartford,41.666901,1
34,hartford,41.667528,316
35,hartford,41.667775,14
36,hartford,41.673037,213
37,hartford,41.674474,38
38,hartford,41.698002,58
39,hartford,41.707618,30
40,hartford,41.712487,46
41,hartford,41.72651,35
42,hartford,41.757801,8
43,hartford,41.762008,39
44,hartford,41.765775,953
45,hartford,41.769319,115
46,hartford,41.769828,8
47,hartford,41.770668,143
48,hartford,41.809641,7
49,hartford,41.824474,11
50,hartford,41.826827,9
51,hartford,41.830957,19
52,hartford,41.848922,1
53,hartford,41.852781,35
54,hartford,41.875874,8
55,hartford,41.899986,31
56,hartford,41.909606,1
57,hartford,41.912428,3
58,hartford,41.924953,35
59,hartford,41.943168,3
60,hartford,41.951103,8
61,hartford,41.976501,101
62,hartford,41.983549,10
63,hartford,41.988602,4
64,hartford,41.998901,1
65,hartford,42.023687,1
66,litchfield,41.535109,3
67,litchfield,41.545058,7
68,litchfield,41.556245,1
69,litchfield,41.576633,55
70,litchfield,41.588864,5
71,litchfield,41.606284,30
72,litchfield,41.631357,3
73,litchfield,41.639532,1
74,litchfield,41.663368,1
75,litchfield,41.671982,11
76,litchfield,41.674124,10
77,litchfield,41.678437,23
78,litchfield,41.684395,4
79,litchfield,41.722304,1
80,litchfield,41.724646,1
81,litchfield,41.744496,1
82,litchfield,41.746861,2
83,litchfield,41.771487,3
