,Year,Age_Class,Death_Count
0,2012,fifthies,76
1,2012,fourties,94
2,2012,seventies,4
3,2012,sixties,16
4,2012,teen,10
5,2012,thirties,86
6,2012,twenties,69
7,2013,eighties,1
8,2013,fifthies,112
9,2013,fourties,142
10,2013,seventies,1
11,2013,sixties,26
12,2013,teen,3
13,2013,thirties,100
14,2013,twenties,105
15,2014,eighties,1
16,2014,fifthies,124
17,2014,fourties,165
18,2014,seventies,7
19,2014,sixties,23
20,2014,teen,7
21,2014,thirties,119
22,2014,twenties,111
23,2015,fifthies,193
24,2015,fourties,149
25,2015,seventies,9
26,2015,sixties,49
27,2015,teen,10
28,2015,thirties,174
29,2015,twenties,145
30,2016,fifthies,228
31,2016,fourties,225
32,2016,seventies,5
33,2016,sixties,60
34,2016,teen,10
35,2016,thirties,221
36,2016,twenties,168
37,2017,fifthies,236
38,2017,fourties,216
39,2017,seventies,5
40,2017,sixties,84
41,2017,teen,4
42,2017,thirties,300
43,2017,twenties,192
44,2018,eighties,1
45,2018,fifthies,236
46,2018,fourties,242
47,2018,seventies,4
48,2018,sixties,95
49,2018,teen,8
50,2018,thirties,265
51,2018,twenties,166
52,2019,eighties,1
53,2019,fifthies,274
54,2019,fourties,261
55,2019,seventies,10
56,2019,sixties,130
57,2019,teen,4
58,2019,thirties,344
59,2019,twenties,176
60,2020,eighties,1
61,2020,fifthies,327
62,2020,fourties,283
63,2020,seventies,14
64,2020,sixties,166
65,2020,teen,11
66,2020,thirties,370
67,2020,twenties,202
68,2021,fifthies,421
69,2021,fourties,350
70,2021,seventies,11
71,2021,sixties,220
72,2021,teen,6
73,2021,thirties,364
74,2021,twenties,152
