,Year,Sex,Race,Date Type
0,2012,female,black,11
1,2012,female,white,85
2,2012,male,black,27
3,2012,male,white,227
4,2013,female,black,16
5,2013,female,white,123
6,2013,male,black,28
7,2013,male,white,317
8,2014,female,black,8
9,2014,female,white,158
10,2014,male,black,22
11,2014,male,white,364
12,2015,female,black,16
13,2015,female,white,175
14,2015,male,black,33
15,2015,male,white,497
16,2016,female,black,20
17,2016,female,white,205
18,2016,male,black,69
19,2016,male,white,604
20,2017,female,black,19
21,2017,female,white,234
22,2017,male,black,77
23,2017,male,white,692
24,2018,female,black,27
25,2018,female,white,209
26,2018,male,black,84
27,2018,male,white,675
28,2019,female,black,28
29,2019,female,white,257
30,2019,male,black,112
31,2019,male,white,779
32,2020,female,black,45
33,2020,female,white,294
34,2020,male,black,166
35,2020,male,white,846
36,2021,female,black or african american,76
37,2021,female,white,326
38,2021,male,black or african american,208
39,2021,male,white,878
